id;infinitive;time;mood;person;quantity;conjugation
1;parlar;present;indicatiu;1;singular;parlo
2;parlar;present;indicatiu;2;singular;parles
3;parlar;present;indicatiu;3;singular;parla
4;parlar;present;indicatiu;1;plural;parlem
5;parlar;present;indicatiu;2;plural;parleu
6;parlar;present;indicatiu;3;plural;parlen
7;parlar;present;subjuntiu;1;singular;parli
8;parlar;present;subjuntiu;2;singular;parlis
9;parlar;present;subjuntiu;3;singular;parli
10;parlar;present;subjuntiu;1;plural;parlem
11;parlar;present;subjuntiu;2;plural;parleu
12;parlar;present;subjuntiu;3;plural;parlin
13;parlar;present;imperatiu;2;singular;parla
14;parlar;present;imperatiu;2;plural;parleu
15;parlar;imperfet;indicatiu;1;singular;parlava
16;parlar;imperfet;indicatiu;2;singular;parlaves
17;parlar;imperfet;indicatiu;3;singular;parlava
18;parlar;imperfet;indicatiu;1;plural;parlàvem
19;parlar;imperfet;indicatiu;2;plural;parlàveu
20;parlar;imperfet;indicatiu;3;plural;parlaven
21;parlar;imperfet;subjuntiu;1;singular;parlés
22;parlar;imperfet;subjuntiu;2;singular;parlessis
23;parlar;imperfet;subjuntiu;3;singular;parlés
24;parlar;imperfet;subjuntiu;1;plural;parléssim
25;parlar;imperfet;subjuntiu;2;plural;parléssiu
26;parlar;imperfet;subjuntiu;3;plural;parlessin
27;parlar;futur;indicatiu;1;singular;parlaré
28;parlar;futur;indicatiu;2;singular;parlaràs
29;parlar;futur;indicatiu;3;singular;parlarà
30;parlar;futur;indicatiu;1;plural;parlarem
31;parlar;futur;indicatiu;2;plural;parlareu
32;parlar;futur;indicatiu;3;plural;parlaran
33;parlar;condicional;indicatiu;1;singular;parlaria
34;parlar;condicional;indicatiu;2;singular;parlaries
35;parlar;condicional;indicatiu;3;singular;parlaria
36;parlar;condicional;indicatiu;1;plural;parlaríem
37;parlar;condicional;indicatiu;2;plural;parlaríeu
38;parlar;condicional;indicatiu;3;plural;parlarien
39;parlar;participi;;;;parlat
40;parlar;gerundi;;;;parlant
41;anar;present;indicatiu;1;singular;vaig
42;anar;present;indicatiu;2;singular;vas
43;anar;present;indicatiu;3;singular;va
44;anar;present;indicatiu;1;plural;anem
45;anar;present;indicatiu;2;plural;aneu
46;anar;present;indicatiu;3;plural;van
47;anar;present;subjuntiu;1;singular;vagi
48;anar;present;subjuntiu;2;singular;vagis
49;anar;present;subjuntiu;3;singular;vagi
50;anar;present;subjuntiu;1;plural;anem
51;anar;present;subjuntiu;2;plural;aneu
52;anar;present;subjuntiu;3;plural;vagin
53;anar;present;imperatiu;2;singular;ves
54;anar;present;imperatiu;2;plural;aneu
55;anar;imperfet;indicatiu;1;singular;anava
56;anar;imperfet;indicatiu;2;singular;anaves
57;anar;imperfet;indicatiu;3;singular;anava
58;anar;imperfet;indicatiu;1;plural;anàvem
59;anar;imperfet;indicatiu;2;plural;anàveu
60;anar;imperfet;indicatiu;3;plural;anaven
61;anar;imperfet;subjuntiu;1;singular;anés
62;anar;imperfet;subjuntiu;2;singular;anessis
63;anar;imperfet;subjuntiu;3;singular;anés
64;anar;imperfet;subjuntiu;1;plural;anéssim
65;anar;imperfet;subjuntiu;2;plural;anéssiu
66;anar;imperfet;subjuntiu;3;plural;anessin
67;anar;futur;indicatiu;1;singular;aniré
68;anar;futur;indicatiu;2;singular;aniràs
69;anar;futur;indicatiu;3;singular;anirà
70;anar;futur;indicatiu;1;plural;anirem
71;anar;futur;indicatiu;2;plural;anireu
72;anar;futur;indicatiu;3;plural;aniran
73;anar;condicional;indicatiu;1;singular;aniria
74;anar;condicional;indicatiu;2;singular;aniries
75;anar;condicional;indicatiu;3;singular;aniria
76;anar;condicional;indicatiu;1;plural;aniríem
77;anar;condicional;indicatiu;2;plural;aniríeu
78;anar;condicional;indicatiu;3;plural;anirien
79;anar;participi;;;;anat
80;anar;gerundi;;;;anant
81;haver;present;indicatiu;1;singular;he
82;haver;present;indicatiu;2;singular;has
83;haver;present;indicatiu;3;singular;ha
84;haver;present;indicatiu;1;plural;hem
85;haver;present;indicatiu;2;plural;heu
86;haver;present;indicatiu;3;plural;han
87;haver;present;subjuntiu;1;singular;hagi
88;haver;present;subjuntiu;2;singular;hagis
89;haver;present;subjuntiu;3;singular;hagi
90;haver;present;subjuntiu;1;plural;haguem
91;haver;present;subjuntiu;2;plural;hagueu
92;haver;present;subjuntiu;3;plural;hagin
93;haver;present;imperatiu;2;singular;does not exist
94;haver;present;imperatiu;2;plural;does not exist
95;haver;imperfet;indicatiu;1;singular;havia
96;haver;imperfet;indicatiu;2;singular;havies
97;haver;imperfet;indicatiu;3;singular;havia
98;haver;imperfet;indicatiu;1;plural;havíem
99;haver;imperfet;indicatiu;2;plural;havíeu
100;haver;imperfet;indicatiu;3;plural;havien
101;haver;imperfet;subjuntiu;1;singular;hagués
102;haver;imperfet;subjuntiu;2;singular;haguessis
103;haver;imperfet;subjuntiu;3;singular;hagués
104;haver;imperfet;subjuntiu;1;plural;haguéssim
105;haver;imperfet;subjuntiu;2;plural;haguéssiu
106;haver;imperfet;subjuntiu;3;plural;haguessin
107;haver;futur;indicatiu;1;singular;hauré
108;haver;futur;indicatiu;2;singular;hauràs
109;haver;futur;indicatiu;3;singular;haurà
110;haver;futur;indicatiu;1;plural;haurem
111;haver;futur;indicatiu;2;plural;haureu
112;haver;futur;indicatiu;3;plural;hauran
113;haver;condicional;indicatiu;1;singular;haurias
114;haver;condicional;indicatiu;2;singular;hauries
115;haver;condicional;indicatiu;3;singular;hauria
116;haver;condicional;indicatiu;1;plural;hauríem
117;haver;condicional;indicatiu;2;plural;hauríeu
118;haver;condicional;indicatiu;3;plural;haurien
119;haver;participi;;;;hagut
120;haver;gerundi;;;;havent
121;ser;present;indicatiu;1;singular;soc
122;ser;present;indicatiu;2;singular;ets
123;ser;present;indicatiu;3;singular;és
124;ser;present;indicatiu;1;plural;som
125;ser;present;indicatiu;2;plural;sou
126;ser;present;indicatiu;3;plural;són
127;ser;present;subjuntiu;1;singular;sigui
128;ser;present;subjuntiu;2;singular;siguis
129;ser;present;subjuntiu;3;singular;sigui
130;ser;present;subjuntiu;1;plural;siguem
131;ser;present;subjuntiu;2;plural;sigueu
132;ser;present;subjuntiu;3;plural;siguin
133;ser;present;imperatiu;2;singular;sigues
134;ser;present;imperatiu;2;plural;sigueu
135;ser;imperfet;indicatiu;1;singular;era
136;ser;imperfet;indicatiu;2;singular;eres
137;ser;imperfet;indicatiu;3;singular;era
138;ser;imperfet;indicatiu;1;plural;érem
